embed_dim,gamma,lamda,steps,use_nmf,mse,rmse
8,0.001,0.01,10,False,2.5192597810856263,1.5872176224719867
8,0.001,0.01,10,True,2.167474690079028,1.472234590708637
8,0.001,0.01,20,False,2.32403847833133,1.52447974021675
8,0.001,0.01,20,True,2.8229487873800125,1.6801633216387069
8,0.001,0.01,50,False,2.0780022531580844,1.4415277497010193
8,0.001,0.01,50,True,2.2663730915260993,1.5054478043180703
8,0.001,0.1,10,False,2.4572564448962853,1.567563856720448
8,0.001,0.1,10,True,2.493323393312656,1.57902609013045
8,0.001,0.1,20,False,2.3412339189852123,1.530109119960146
8,0.001,0.1,20,True,2.2213605036711725,1.4904229277863288
8,0.001,0.1,50,False,2.3502772079308167,1.5330613842670544
8,0.001,0.1,50,True,2.244168302065332,1.4980548394719506
8,0.001,1.0,10,False,2.540300758698685,1.5938320986536458
8,0.001,1.0,10,True,2.402960244840559,1.5501484589679013
8,0.001,1.0,20,False,2.569376215070713,1.602927389207232
8,0.001,1.0,20,True,2.5405436892327815,1.593908306406859
8,0.001,1.0,50,False,2.6446839576607,1.6262484304867753
8,0.001,1.0,50,True,2.483737323412835,1.5759877294613798
8,0.01,0.01,10,False,2.2591760906516574,1.5030555846846307
8,0.01,0.01,10,True,2.0770254689928875,1.4411889081563485
8,0.01,0.01,20,False,2.378939216099165,1.5423810216996205
8,0.01,0.01,20,True,2.5717051008717107,1.6036536723593753
8,0.01,0.01,50,False,2.3263658144405737,1.5252428706407952
8,0.01,0.01,50,True,2.1948020622524416,1.4814864367426526
8,0.01,0.1,10,False,2.010540413988373,1.4179352643856393
8,0.01,0.1,10,True,2.1368699024545754,1.4618036470246527
8,0.01,0.1,20,False,2.1374376890435185,1.4619978416685568
8,0.01,0.1,20,True,1.974497220660587,1.4051680400082358
8,0.01,0.1,50,False,2.429022446895307,1.558532144966958
8,0.01,0.1,50,True,1.953594203236108,1.3977103431097975
8,0.01,1.0,10,False,2.487672666416473,1.5772357675428468
8,0.01,1.0,10,True,2.627657566805861,1.6210051100492746
8,0.01,1.0,20,False,2.4321606781250664,1.5595386106554292
8,0.01,1.0,20,True,2.3972071880490327,1.5482916999225413
8,0.01,1.0,50,False,2.379297448134413,1.5424971468804773
8,0.01,1.0,50,True,2.6074384572923885,1.6147564699645542
8,0.1,0.01,10,False,,
8,0.1,0.01,10,True,,
8,0.1,0.01,20,False,,
8,0.1,0.01,20,True,,
8,0.1,0.01,50,False,,
8,0.1,0.01,50,True,,
8,0.1,0.1,10,False,,
8,0.1,0.1,10,True,,
8,0.1,0.1,20,False,,
8,0.1,0.1,20,True,,
8,0.1,0.1,50,False,,
8,0.1,0.1,50,True,,
8,0.1,1.0,10,False,2.382468872918946,1.543524820959788
8,0.1,1.0,10,True,2.6574673728723925,1.6301740314679265
8,0.1,1.0,20,False,2.385213375507684,1.5444136024743125
8,0.1,1.0,20,True,2.9541151038803872,1.7187539393061437
8,0.1,1.0,50,False,2.205977657991813,1.485253398579452
8,0.1,1.0,50,True,2.355660373499884,1.5348160715538146
16,0.001,0.01,10,False,2.405988334095525,1.5511248608978985
16,0.001,0.01,10,True,2.603021581581723,1.613388230272467
16,0.001,0.01,20,False,2.46956044570962,1.5714835174794612
16,0.001,0.01,20,True,2.080202431420353,1.442290688946009
16,0.001,0.01,50,False,2.829862732913758,1.6822195852247583
16,0.001,0.01,50,True,2.20161009667912,1.4837823616282544
16,0.001,0.1,10,False,2.2273682073406342,1.492437002804686
16,0.001,0.1,10,True,2.573480665955068,1.604207176755879
16,0.001,0.1,20,False,1.8771040113158457,1.3700744546614412
16,0.001,0.1,20,True,1.98650587623189,1.4094345945207567
16,0.001,0.1,50,False,1.699535921137762,1.303662502773537
16,0.001,0.1,50,True,2.321551926251173,1.523663980755328
16,0.001,1.0,10,False,1.8736554212995238,1.368815334988443
16,0.001,1.0,10,True,1.937136533218382,1.3918105234615745
16,0.001,1.0,20,False,1.6771946846043368,1.295065513634093
16,0.001,1.0,20,True,1.9785993873596301,1.4066269538721452
16,0.001,1.0,50,False,1.7731524900172162,1.331597720791537
16,0.001,1.0,50,True,1.9556244311462392,1.3984364237055038
16,0.01,0.01,10,False,2.448834068843122,1.5648750968825347
16,0.01,0.01,10,True,2.403461223802281,1.5503100411860464
16,0.01,0.01,20,False,2.1249937772507566,1.4577358393243807
16,0.01,0.01,20,True,2.136995147080818,1.461846485469941
16,0.01,0.01,50,False,2.742602917392738,1.656080589039295
16,0.01,0.01,50,True,2.75476940587658,1.6597498021920594
16,0.01,0.1,10,False,2.0758335289737766,1.4407753221698991
16,0.01,0.1,10,True,1.9659953963023329,1.4021395780386248
16,0.01,0.1,20,False,2.646906348899513,1.6269315747441602
16,0.01,0.1,20,True,2.266362375090827,1.5054442450953893
16,0.01,0.1,50,False,1.8428384684906702,1.3575118667955246
16,0.01,0.1,50,True,1.636308527165149,1.2791827575312094
16,0.01,1.0,10,False,1.7414432852837893,1.3196375583029567
16,0.01,1.0,10,True,1.6000189752236929,1.264918564660861
16,0.01,1.0,20,False,1.5453314428815188,1.243113608195775
16,0.01,1.0,20,True,1.5063810767034136,1.227347170405918
16,0.01,1.0,50,False,1.6878218813177932,1.2991619919462674
16,0.01,1.0,50,True,1.5195248051529266,1.2326900685707363
16,0.1,0.01,10,False,,
16,0.1,0.01,10,True,,
16,0.1,0.01,20,False,,
16,0.1,0.01,20,True,,
16,0.1,0.01,50,False,,
16,0.1,0.01,50,True,,
16,0.1,0.1,10,False,,
16,0.1,0.1,10,True,,
16,0.1,0.1,20,False,,
16,0.1,0.1,20,True,,
16,0.1,0.1,50,False,,
16,0.1,0.1,50,True,,
16,0.1,1.0,10,False,1.6477323373670398,1.2836402678971395
16,0.1,1.0,10,True,1.6072320215898745,1.2677665485371803
16,0.1,1.0,20,False,1.6199166889413246,1.2727594780402638
16,0.1,1.0,20,True,1.6615199614703065,1.2889995971567665
16,0.1,1.0,50,False,1.647970776068881,1.2837331405198205
16,0.1,1.0,50,True,1.8709444702757576,1.3678247220589916
